Head,Relation,Tail
"王奶奶","邻居","卜世仁"
"缮国公诰命","妻","缮国公"
"柳芳","孙子","柳彪"
"袭人之母","母亲","袭人"
"傅秋芳","妹","傅试"
"戚建辉","孙子","襄阳侯"
"冯紫英","子","神武将军冯唐"
"石光珠","孙子","缮国公"
"蒋子宁","孙子","平原侯"
"贾瑞","子","贾瑞之父"
"牛继宗","孙子","牛清"
"侯孝康","孙子","侯明"
"李衙内","小舅子","长安府府太爷"
"金彩","父亲","鸳鸯"
"南安王太妃","妻","南安郡王"
"贾王扁","子","贾王扁之母"
"赖嬷嬷","母亲","赖大"
"西宁郡王妃","妻","西宁郡王"
"东安郡王穆莳拜","子","东平郡王"
"镇国公诰命长男","子","牛清"
"娇杏","妻","贾化"
"卜银姐","女","卜世仁"
"王老爷","友人","贾化"
"陈瑞文","孙子","陈翼"
"赖大的女儿","女","赖大"
"北静王太妃","儿媳","北静郡王"
"锦田侯诰命","施主","马道婆"
"应天府门子","子","贾化"
"倪儿娘子","妻","倪二"
"小丫头子","丫鬟","贾芸"
"卜世仁娘子","妻","卜世仁"
"马尚","孙子","马魁"
"西宁郡王之孙","孙子","西宁郡王"
"马贩子王短腿","友人","倪二"
"贾芸","子","五嫂子卜氏"
"锦乡侯诰命","妻","锦乡侯"
"倪二女儿","女","倪二"
"天子之妻","妻","应天府门子"
"贾瑞之母","妻","贾瑞之父"
"镇国公诰命","妻","牛清"
"贾瑞之父","子","贾代儒"
"贾雨村子","子","贾化"
"北静王少妃","妻","水溶"
"张如圭","友人","贾化"
"花自芳","兄","袭人"
"倪二","友人","贾芸"
"贾芹","子","周氏"
"卜世仁店里伙计","伙计","卜世仁"
"裘良","孙子","景田侯"
"金文翔","兄","鸳鸯"
"南安郡王之孙","孙子","南安郡王"
"贾喜鸾","女","贾王扁之母"
"贾四姐","女","贾琼之母"
"卜世仁","兄弟","五嫂子卜氏"
"贾琼","子","贾琼之母"
"赖尚荣","子","赖大"
"韩奇","子","锦乡侯"
"北静郡王长府官","臣","水溶"
"水溶","孙子","北静郡王"
"谢鲸","孙子","定城侯"
